player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Luke Falk,46586,QB,WASH STATE,12,75.2,516,535,7.0,2.71,3,18,3.2,66.7,357,0,156,8.0,601,31,179,341,64.3,67.3,68.9,42.7,6,13,620,2,25.6,94.2,6.7,40,26,0,10,30,28,4.5,3586,6.7
Mike White,46453,QB,W KENTUCKY,12,76.2,504,521,9.1,2.46,4,26,4.8,65.6,342,0,181,10.9,568,42,181,346,58.8,81.5,79.0,69.0,4,7,593,1,21.5,97.1,6.9,39,4,0,9,24,17,2.9,3827,7.3
Tyler Rogers,46638,QB,NEW MEX ST,11,71.0,496,515,9.1,2.65,4,24,4.5,61.7,318,2,195,9.7,558,34,173,242,66.0,74.9,74.6,59.6,1,16,578,4,13.8,88.5,4.8,27,16,2,12,26,31,5.4,3845,7.5
Kurt Benkert,46540,QB,VIRGINIA,12,71.9,448,475,8.5,2.55,7,24,4.8,59.4,282,0,132,12.4,533,40,143,335,26.9,61.0,61.9,48.6,1,8,560,1,23.5,88.2,5.8,31,18,1,18,24,29,5.2,3055,6.4
Ross Bowers,38380,QB,CAL,12,69.3,423,464,9.2,2.54,8,21,4.3,58.6,272,0,171,7.2,513,21,146,130,58.7,69.9,69.7,53.2,7,12,539,2,19.3,80.4,6.4,33,14,3,23,18,17,3.2,3037,6.5
Mason Rudolph,46569,QB,OKLA STATE,12,73.8,442,458,12.0,2.57,2,26,5.3,65.1,298,0,111,8.6,493,28,203,262,52.7,86.3,85.0,63.9,1,9,526,3,18.9,115.0,4.3,21,12,0,13,35,20,3.8,4557,9.9
Josh Rosen,35460,QB,UCLA,11,74.8,425,453,8.8,2.6,9,27,5.7,62.5,283,1,143,11.0,489,35,170,324,50.8,82.1,83.1,50.5,3,10,508,7,18.2,98.6,5.3,26,10,0,16,26,22,4.3,3755,8.3
Ryan Finley,46426,QB,NC STATE,12,72.9,431,448,8.8,2.3,5,19,4.0,63.8,286,0,88,8.9,473,28,154,248,56.1,87.0,87.2,59.0,3,6,500,1,14.8,91.3,2.7,13,8,0,9,16,12,2.4,3195,7.1
Ben Hicks,46595,QB,SMU,12,66.2,414,442,10.5,2.49,10,21,4.5,58.1,257,0,118,6.2,473,17,158,287,80.3,69.0,67.4,64.1,6,9,496,3,12.7,98.6,3.2,15,14,2,10,32,21,4.2,3440,7.8
Nic Shimonek,46594,QB,TEXAS TECH,12,78.8,401,433,7.6,2.57,4,24,5.3,68.1,295,0,135,6.6,474,21,161,315,56.4,79.7,79.8,53.9,1,8,499,1,18.5,108.3,5.3,25,14,0,27,30,18,3.6,3540,8.2
Justice Hansen,46349,QB,ARK STATE,11,71.6,416,429,10.0,2.43,3,14,3.1,63.4,272,1,139,8.7,479,26,184,113,45.8,76.8,72.1,71.9,2,15,500,2,19.4,101.9,5.6,27,20,1,7,34,23,4.6,3621,8.4
Tanner Lee,38321,QB,NEBRASKA,12,67.0,406,428,10.6,2.53,5,18,4.1,57.2,245,0,172,9.9,456,27,141,238,72.8,63.2,61.5,60.9,11,16,472,0,11.6,82.7,4.4,20,6,0,6,23,27,5.7,3138,7.3
Clayton Thorson,46501,QB,NWESTERN,12,72.5,404,427,8.5,2.77,11,12,2.7,60.4,258,1,146,11.9,476,35,151,256,76.4,66.5,63.3,68.4,2,12,498,2,20.5,79.8,6.3,30,18,1,9,15,25,5.0,2804,6.6
Hayden Moore,46410,QB,CINCINNATI,12,67.3,395,423,9.1,2.33,5,19,4.2,56.5,239,0,123,10.2,458,27,132,138,48.4,69.7,65.4,71.6,3,9,485,4,12.2,81.3,3.3,15,19,0,20,20,24,4.9,2562,6.1
Daniel Jones,39395,QB,DUKE,12,68.1,376,416,8.7,2.55,13,17,3.9,55.3,230,0,130,10.2,466,26,130,154,26.9,58.9,56.2,63.9,9,11,492,3,21.5,71.2,6.0,28,22,1,17,12,29,5.9,2439,5.9
Mason Fine,46629,QB,N TEXAS,12,73.5,389,415,10.1,2.68,5,29,6.7,64.1,266,0,166,7.0,455,20,157,251,64.6,84.8,85.9,56.3,4,11,476,0,14.5,100.2,5.3,24,16,2,15,27,16,3.4,3390,8.2
Brandon Silvers,46483,QB,TROY,12,73.2,395,414,7.3,2.16,3,20,4.5,62.6,259,0,92,10.4,436,30,137,318,68.3,76.8,77.6,49.8,3,6,463,0,16.3,88.6,3.4,15,5,2,11,13,10,2.2,2973,7.2
Sam Darnold,29048,QB,USC,12,70.5,393,414,10.5,2.58,3,25,5.9,62.8,260,0,128,6.1,457,17,176,326,37.6,80.0,79.0,60.3,2,12,470,2,14.8,96.5,4.2,19,22,2,14,24,25,5.3,3462,8.4
